BILLABLE_ID,INVOICE_DATE,ACCOUNT_ID,MOBILE_NO,BILL_START_DATE,BILL_END_DATE,COMPANY_NAME,INVOICE_NO,CITY,MONTHLY_RENTAL,USAGE,ONE_TIME_CHARGES,DISCOUNT,TAX,TOTAL_OUTSTANDING
1-3411718727870,03-JUN-2022,1-3411718727870,5754000134692,01-May-2022,31-May-2022,"WENALYTICS IOT SOLUTIONS",BM2336I001646253,Rangareddi,35.00,0.00,0.00,0.00,6.30,35.00
1-3411718727870,03-JUN-2022,1-3411718727870,5754000134664,01-May-2022,31-May-2022,"WENALYTICS IOT SOLUTIONS",BM2336I001646253,Rangareddi,35.00,0.00,0.00,0.00,6.30,35.00
1-3411718727870,03-JUN-2022,1-3411718727870,5754000134676,01-May-2022,31-May-2022,"WENALYTICS IOT SOLUTIONS",BM2336I001646253,Rangareddi,35.00,0.00,0.00,0.00,6.30,35.00
1-3411718727870,03-JUN-2022,1-3411718727870,5754000134691,01-May-2022,31-May-2022,"WENALYTICS IOT SOLUTIONS",BM2336I001646253,Rangareddi,35.00,0.00,0.00,0.00,6.30,35.00
1-3411718727870,03-JUN-2022,1-3411718727870,5754000134689,01-May-2022,31-May-2022,"WENALYTICS IOT SOLUTIONS",BM2336I001646253,Rangareddi,35.00,0.00,0.00,0.00,6.30,35.00
1-3411718727870,03-JUN-2022,1-3411718727870,5754000134684,01-May-2022,31-May-2022,"WENALYTICS IOT SOLUTIONS",BM2336I001646253,Rangareddi,35.00,0.00,0.00,0.00,6.30,35.00
1-3411718727870,03-JUN-2022,1-3411718727870,5754000134687,01-May-2022,31-May-2022,"WENALYTICS IOT SOLUTIONS",BM2336I001646253,Rangareddi,35.00,0.00,0.00,0.00,6.30,35.00
1-3411718727870,03-JUN-2022,1-3411718727870,5754000134665,01-May-2022,31-May-2022,"WENALYTICS IOT SOLUTIONS",BM2336I001646253,Rangareddi,35.00,0.00,0.00,0.00,6.30,35.00
1-3411718727870,03-JUN-2022,1-3411718727870,5754000134690,01-May-2022,31-May-2022,"WENALYTICS IOT SOLUTIONS",BM2336I001646253,Rangareddi,35.00,0.00,0.00,0.00,6.30,35.00
1-3411718727870,03-JUN-2022,1-3411718727870,5754000134663,01-May-2022,31-May-2022,"WENALYTICS IOT SOLUTIONS",BM2336I001646253,Rangareddi,35.00,0.00,0.00,0.00,6.30,35.00
1-3411718727870,03-JUN-2022,1-3411718727870,5754000134669,01-May-2022,31-May-2022,"WENALYTICS IOT SOLUTIONS",BM2336I001646253,Rangareddi,35.00,0.00,0.00,0.00,6.30,35.00
1-3411718727870,03-JUN-2022,1-3411718727870,5754000134686,01-May-2022,31-May-2022,"WENALYTICS IOT SOLUTIONS",BM2336I001646253,Rangareddi,35.00,0.00,0.00,0.00,6.30,35.00
1-3411718727870,03-JUN-2022,1-3411718727870,5754000119888,01-May-2022,31-May-2022,"WENALYTICS IOT SOLUTIONS",BM2336I001646253,Rangareddi,35.00,0.00,0.00,0.00,6.30,35.00
1-3411718727870,03-JUN-2022,1-3411718727870,5754000119887,01-May-2022,31-May-2022,"WENALYTICS IOT SOLUTIONS",BM2336I001646253,Rangareddi,35.00,0.00,0.00,0.00,6.30,35.00
1-3411718727870,03-JUN-2022,1-3411718727870,5754000119886,01-May-2022,31-May-2022,"WENALYTICS IOT SOLUTIONS",BM2336I001646253,Rangareddi,35.00,0.00,0.00,0.00,6.30,35.00
1-3411718727870,03-JUN-2022,1-3411718727870,5754000155619,01-May-2022,31-May-2022,"WENALYTICS IOT SOLUTIONS",BM2336I001646253,Rangareddi,35.00,0.00,0.00,0.00,6.30,35.00
1-3411718727870,03-JUN-2022,1-3411718727870,5754000119882,01-May-2022,31-May-2022,"WENALYTICS IOT SOLUTIONS",BM2336I001646253,Rangareddi,35.00,0.00,0.00,0.00,6.30,35.00
