Sno,Meter,Date/Hours,"Running Hours"
1,Chiller_4,2020-07-01,"0 Hours 0 Min"
2,Chiller_4,2020-07-02,"0 Hours 0 Min"
3,Chiller_4,2020-07-03,"0 Hours 0 Min"
4,Chiller_4,2020-07-04,"0 Hours 0 Min"
5,Chiller_4,2020-07-05,"0 Hours 0 Min"
6,Chiller_4,2020-07-06,"0 Hours 0 Min"
7,Chiller_4,2020-07-07,"0 Hours 0 Min"
8,Chiller_4,2020-07-08,"0 Hours 0 Min"
9,Chiller_4,2020-07-09,"0 Hours 0 Min"
10,Chiller_4,2020-07-10,"0 Hours 0 Min"
11,Chiller_4,2020-07-11,"18 Hours 0 Min"
12,Chiller_4,2020-07-12,"21 Hours 35 Min"
